class-name,title,description,top-category,category,origin,use-cases,chained-class,parent-class,element
td .active,Table Row Active,"The active class is applied to the navigation element the user is currently viewing. In the case of your code, the user is viewing the profile. It will serve as a guide or reminder to where in the website the visitor is in. That is why the active class is applied, which comes handy when viewing a website with many navigation links.",CSS,tables-contextual-classes,bootstrap,,-,.table,"td, tr"
.navbar-nav li .active,Navbar Link Active,"The active class is applied to the navigation element the user is currently viewing. In the case of your code, the user is viewing the profile. It will serve as a guide or reminder to where in the website the visitor is in. That is why the active class is applied, which comes handy when viewing a website with many navigation links.",Component,navbar,bootstrap,,-,".navbar-nav, .nav",li
.list-group-item .active,List Group Item Active,Adds a blue background color to the active list item in a list group,Component,list-group-contextual-classes,bootstrap,,.list-group-item,.list-group,"li, button, a"
.btn .active,Button Active,"Adds a blue background color to simulate a ""pressed"" button",CSS,buttons-active,bootstrap,,.btn,-,"input, button, a"
.progress-bar .active,Progress Bar active,Animates a striped progress bar,Component,progress-animated,bootstrap,,.progress-bar,.progress,div
.dropdown .active,Dropdown link active,Adds a blue background color to the active dropdown item in a dropdown,Component,dropdowns,bootstrap,,-,.dropdown,li
.pagination .active,Pagination Link active,Adds a blue background color to the active pagination link (to highlight the current page),Component,pagination,bootstrap,,-,.pagination,li
.affix,Affix ,"The affix plugin toggles position: fixed; on and off, emulating the effect found with position: sticky;. The sub navigation on the right is a live demo of the affix plugin.",Javascript,affix,bootstrap,,-,-,-
.alert,Alert,"Provide contextual feedback messages for typical user actions with the handful of available and flexible alert messages. Alerts are available for any length of text, as well as an optional dismiss button.",Component,alerts,bootstrap,,alert-color,-,div
.alert-danger,Alert Danger, alert-danger class is red alert box Indicates a dangerous or potentially negative action. Add the class .alert-danger to the .alert base class to create error or danger alerts.,Component,alerts,bootstrap,,.alert,-,div
.alert-dismissable,Alert Dismissable,Similar to a well it is a box with a border and padding. The .alert class adds the padding and margin. Defaults as red background color.,Component,alerts,bootstrap,,.alert,-,div
.alert-info,Alert Info,Similar to a well it is a box with a border and padding. The .alert class adds the padding and margin. Defaults as blue background color.,Component,alerts,bootstrap,,.alert,-,div
.alert-link,Alert Link,When you add links inside alert this class matches the font color to the parent alert class.,Component,alerts,bootstrap,,.alert,-,div
.alert-success,Alert Success,Similar to a well it is a box with a border and padding. The .alert class adds the padding and margin. Defaults as green background color.,Component,alerts,bootstrap,,.alert,-,div
.alert-warning,Alert Warning,Similar to a well it is a box with a border and padding. The .alert class adds the padding and margin. Defaults as yellow background color.,Component,alerts,bootstrap,,.alert,-,div
.avatar,Avatar,"initial avatar class. This class includes all the features like avatar font size, alignment. The default size of this avatar is 32px",Component,avatar,bootstrap-essentials,,-,-,"span, div, img"
.avatar-16,Avatar 16px,Avatar class for 16 px. Commonly used to display number of users  invoved in an activity,Component,avatar,bootstrap-essentials,,.avatar,-,"span, div, img"
.avatar-24,Avatar 24px,Avatar class of 24px. This size is  used to display subscriptions in navigaton or active users,Component,avatar,bootstrap-essentials,,.avatar,-,"span, div, img"
.avatar-32,Avatar 32px,Standard Avatar size for navbar or navmenu,Component,avatar,bootstrap-essentials,,.avatar,-,"span, div, img"
.avatar-48,Avatar 48px,Avatar class for 48 px. Best used in media object and list ,Component,avatar,bootstrap-essentials,,.avatar,-,"span, div, img"
.avatar-64,Avatar 64px,Avatar class for 64 px. Can be used in media object or profile page,Component,avatar,bootstrap-essentials,,.avatar,-,"span, div, img"
.avatar-96,Avatar 96px,An alternate avatar size for navbar dropdown (gmail) for almost 100px ,Component,avatar,bootstrap-essentials,,.avatar,-,"span, div, img"
.avatar-128,Avatar 128px,standard avatar size for profile page,Component,avatar,bootstrap-essentials,,.avatar,-,"span, div, img"
.b,Border,".b is border class, Border option provides the ability to sectionize a content and display in better way. Here .b provides border for all sides.",CSS,borders,bootstrap-essentials,,-,-,*
.b-0,No Border,".b-0 is no border class, it does not provide a border, the class .b-0 will remove all the borders.",CSS,borders-no-border,bootstrap-essentials,,-,-,*
.bt,Border Top,".bt is a border class, which only provides border on top. bt stands for border top.",CSS,borders,bootstrap-essentials,,-,-,*
.bt-0,No Border Top,".bt-0 in no border class, it removes top border.",CSS,borders-no-border,bootstrap-essentials,,-,-,*
.br,Border Right,.br class will give only right side border.,CSS,borders,bootstrap-essentials,,-,-,*
.br-0,No Border Right,.br-0 class will remove only right side border,CSS,borders-no-border,bootstrap-essentials,,-,-,*
.bb,Border Bottom,.bb class will give only border only in bottom.,CSS,borders,bootstrap-essentials,,-,-,*
.bb-0,No Border Bottom,.bb-0 class will remove only bottom border.,CSS,borders-no-border,bootstrap-essentials,,-,-,*
.bl,Border Left,.bl class will work with left side border.,CSS,borders,bootstrap-essentials,,-,-,*
.bl-0,No Border Left,.bl-0 class will remove only left side border.,CSS,borders-no-border,bootstrap-essentials,,-,-,*
.btn-file,File input Button,Button for file input,CSS,buttons,bootstrap-essentials,,-,-,*
.btn-circle,Buttons Circle,.btn-circle class is used to make the buttons in circle shape.,CSS,buttons-circle,bootstrap-essentials,,".btn, .btn-color",-,"button
input
a"
.btn-rounded,Button Rounded,.btn-rounded class will convert the left and right edges in rounded shape.,CSS,buttons-rounded,bootstrap-essentials,,".btn, .btn-color",-,"button
input
a"
.btn-outline,Button Outline,.btn-outline class is used to make the buttons with outline.,CSS,buttons-outline,bootstrap-essentials,,".btn, .btn-color",-,"button
input
a"
.bg-img,Background Image Cover,This class includes the basic configuration required to set a background cover image on a selected element. You just need to define background-image CSS property along with this class.,CSS,helpers,bootstrap-essentials,,-,-,div
.bg-jumbotron,Jumbotron Background Color,"jumbotron Background color, .bg-jumbotron class is used to make the background color in light gray(jumbotron color).",CSS,helpers,bootstrap-essentials,,-,-,div
.bg-transparent,Transparent Background Color,"Make background transparent. Its a utility that can be used on list groups, tabs, panel heading.",CSS,helpers,bootstrap-essentials,,-,-,div
.bg-well,Well Background color, .bg-well class is used to make the background color in well color.,CSS,helpers,bootstrap-essentials,,-,-,div
.bg-white,White Background Color,.br-white will make the background color to white.,CSS,helpers,bootstrap-essentials,,-,-,div
.badge,Badge,Used to show new or unread messages or items like the iOS red icon showing new messages or email.,Component,badges,bootstrap,,-,-,span
.bg-danger,Danger Background Color,"Similar to the contextual text color classes, easily set the background of an element to any contextual class. Anchor components will darken on hover, just like the text classes. It adds a orange background color to an element.",CSS,helpers,bootstrap,,-,-,div
.bg-info,Info Background Color,"Similar to the contextual text color classes, easily set the background of an element to any contextual class. Anchor components will darken on hover, just like the text classes. It adds a light-blue background color to an element. Represents some information",CSS,helpers,bootstrap,,-,-,div
.bg-primary,Primary Background Color,"Similar to the contextual text color classes, easily set the background of an element to any contextual class. Anchor components will darken on hover, just like the text classes. It adds a blue background color to an element.",CSS,helpers,bootstrap,,-,-,div
.bg-success,Success Background Color,"Similar to the contextual text color classes, easily set the background of an element to any contextual class. Anchor components will darken on hover, just like the text classes. It adds a green background color to an element. Which indicates success or a positive action.",CSS,helpers,bootstrap,,-,-,div
.bg-warning,Warning Background Color,"Similar to the contextual text color classes, easily set the background of an element to any contextual class. Anchor components will darken on hover, just like the text classes. It adds a yellow background color to an element. ",CSS,helpers,bootstrap,,-,-,div
.breadcrumb,Breadcrumbs,A pagination. Indicates the current pages location within a navigational hierarchy,Component,breadcrumbs,bootstrap,,-,-,ol
.btn,Common Button Class ,This class creates a basic button (gray background and rounded corners) and also sets the spacing and size of the button.,CSS,buttons,bootstrap,,-,-,"button,  a, input"
.btn-block,Button Block,Creates a block level button that spans the entire width of the parent element.,CSS,buttons-sizes,bootstrap,,".btn, .btn-color",-,"button,  a, input"
.btn-block-xs,Button Block for mobile devices,Creates a block level button that spans the entire width of the parent element in mobile screens.,CSS,buttons-sizes,bootstrap,,".btn, .btn-color",-,"button,  a, input"
.btn-danger,Button Danger,It defaults to a red background button. Which Indicates danger or a negative action.,CSS,buttons-options,bootstrap,,".btn, .btn-color",-,"button,  a, input"
.btn-default,Button Default,It defaults to a white background button with dark gray border.,CSS,buttons,bootstrap,,".btn, .btn-color",-,"button,  a, input"
.btn-group,Button Group,Smushes multiple buttons together to make a pill shape. Each button is separated by a vertical line.,Component,btn-groups,bootstrap,,".btn-group-justified, .btn-group-lg,  .btn-group-sm, .btn-group-xs, .btn-group-vertical",-,div
.btn-group-justified,Justified Button Group,Make a group of buttons stretch at equal sizes to span the entire width of its parent. Also works with button dropdowns within the button group.,Component,btn-groups-justified,bootstrap,,".btn-group
",-,div
.btn-group-lg,Large Button Group,Large button group (makes all buttons in a button group larger - increased font-size and padding),Component,btn-groups-sizing,bootstrap,,".btn-group
",-,div
.btn-group-sm,Small Button Group,Small button group (makes all buttons in a button group smaller),Component,btn-groups-sizing,bootstrap,,".btn-group
",-,div
.btn-group-xs,Extra Small Button Group,Extra small button group (makes all buttons in a button group extra small),Component,btn-groups-sizing,bootstrap,,".btn-group
",-,div
.btn-group-vertical,Vertical Button Group,Make a set of buttons appear vertically stacked rather than horizontally.,Component,btn-groups-vertical,bootstrap,,".btn-group
",-,div
.btn-info,Info Button ,Button for information on a topic like terms and conditions. Default color is light blue.,CSS,buttons-options,bootstrap,,".btn, .btn-outline, .btn-circle, btn-sm, btn-xs, btn-lg, .btn-rounded",-,"button, a, input,"
.btn-link,Link Button,Keeps the spacing set with the .btn class but removes the outer border. Makes a button look like a link (get button behavior),CSS,buttons-options,bootstrap,,.btn,,"button, a, input,"
.btn-lg,Large Button,"Fancy larger or smaller buttons? Add .btn-lg, .btn-sm, or .btn-xs for additional sizes.",CSS,buttons-options,bootstrap,,".btn, .btn-color",-,"button, a, input,"
.btn-primary,Primary Button,Use for the primary action in a set. Which indicates with Blue color button.,CSS,buttons-options,bootstrap,,".btn, .btn-outline, .btn-circle, btn-sm, btn-xs, btn-lg, .btn-rounded",-,"button, a, input,"
.btn-sm,Small Button,"btn-sm is a fancy larger or smaller buttons? Add .btn-lg, .btn-sm, or .btn-xs for additional sizes.",CSS,buttons-options,bootstrap,,".btn, .btn-color",-,"button, a, input,"
.btn-success,Success Button,btn-success by defaults to a green background button with dark border. Which represents positive action.,CSS,buttons-options,bootstrap,,".btn, .btn-outline, .btn-circle, btn-sm, btn-xs, btn-lg, .btn-rounded",-,"button, a, input,"
.btn-warning,Warning Button,By defaults btn-warning is to a yellow background button with dark border. Which represents warning or a negative action.,CSS,buttons-options,bootstrap,,".btn, .btn-outline, .btn-circle, btn-sm, btn-xs, btn-lg, .btn-rounded",-,"button, a, input,"
.btn-xs,Extra Small Button,"btn-xs is a fancy larger or smaller buttons? Add .btn-lg, .btn-sm, or .btn-xs for additional sizes. xs indicates Extra small button.",CSS,buttons-options,bootstrap,,".btn, .btn-color",-,"button, a, input,"
.caption,Image Caption,"Adds a caption text inside a thumbnail, but could be used elsewhere.",Component,thumbnails,bootstrap,,-,.thumbnail,div
.caret,Dropdown and Dropup Caret,"Caret class creates a  arrow icon , Used in dropdown menus to show open and closed states.",Component,dropdowns,bootstrap,,-,.dropdown,span
.carousel,Carousel Slider," Parent carousel class making it position relative, which creates a carousel (slideshow).",Javascript,carousel,bootstrap,,.slide,-,div
.carousel-caption,Carousel Caption,It creates a caption text for each slide item in the carousel.,Javascript,carousel,bootstrap,,-,.item,div
.carousel-control,Carousel Control,Container which is added to each next and previous anchors.,Javascript,carousel,bootstrap,,".left, .right",.carousel,a
.carousel-indicators,Carousel Indicators,"Adds little dots/indicators at the bottom of each slide (which indicates how many slides there is in the carousel, and which slide the user are currently viewing)",Javascript,carousel,bootstrap,,-,.carousel,ol
.carousel-inner,Carousel Inner, It is a div wrapper that contains the carousel slide items.,Javascript,carousel,bootstrap,,-,.carousel,div
.center-block,Centered Block,Centers any element (Sets an element to display:block with margin-right:auto and margin-left:auto),Javascript,helpers,bootstrap,,-,-,*
.checkbox,Input Checkbox Class,"Form checkbox wrapper - Checkboxes are for selecting one or several options in a list, while radios are for selecting one option from many.",Javascript,buttons-checkbox-radio,bootstrap,,-,-,div
.checkbox-inline,Inline Checkbox,"Checkboxes are for selecting one or several options in a list, while radios are for selecting one option from many.",CSS,checkboxes-and-radios,bootstrap,,-,-,label
.clearfix,Float Clearfix,Used to clear floats by adding .cleafix to the parent element. It adds a pseudo element with clear:both property.,CSS,helpers,bootstrap,,-,.row,div
.close,Close button,Use the generic close icon for dismissing content like modals and alerts.,CSS,helpers,bootstrap,,-,-,"button, a"
.col-breakpoint-size,Column Responsive Grid,"Responsive grid (span 1-12 column). Extra small devices Phones (< 768px), Small devices Tablets (≥768px), Medium devices Desktops (≥992px), Large devices Desktops (≥1200px). Column values can be 1-12.",CSS,grid,bootstrap,"https://codepen.io/poojalm/pen/qjEqBw  , https://codepen.io/poojalm/pen/OgPXXE",-,.row,div
.col-breakpoint-offset-size,Column Offset Option,Move columns to the right. These classes increase the left margin of a column by * columns,CSS,grid,bootstrap,,.col-breakpoint-size,.row,div
.col-breakpoint-pull-size,Column Pull Option,Changes the order of the grid columns,CSS,grid,bootstrap,https://codepen.io/poojalm/pen/vZEwgE?editors=1000,.col-breakpoint-size,.row,div
.col-breakpoint-push-size,Column Push Option,Changes the order of the grid columns,CSS,grid,bootstrap,https://codepen.io/poojalm/pen/vZEwgE?editors=1000,.col-breakpoint-size,.row,div
.collapse,Element Collapsed,Indicates collapsible content - which can be hidden or shown on demand,CSS,collapse,bootstrap,,-,-,div
.collapse .in,Open Collapse Element ,Show the collapsible content by default,CSS,collapse,bootstrap,,-,-,div
.container,Simple Container,Fixed width container with widths determined by screen sites. Equal margin on the left and right.,CSS,containers,bootstrap,,-,-,div
.container-fluid,Fluid Container,A container that spans the full width of the screen,CSS,containers-fluid,bootstrap,https://codepen.io/poojalm/pen/WjPzxJ,-,-,div
.container-flex,Flex Container,Uses display flex. This was created to adjust the footer link of panel as per text in grid system. Flex is not supported for Internet Explorer Browser,CSS,containers-flex,bootstrap-essentials,https://codepen.io/poojalm/pen/rmXyyQ,-,.container,div
.container-login,Login Container,Simple Login Container,CSS,containers-login,bootstrap-essentials,https://codepen.io/poojalm/pen/qjEZwb,.container,-,div
.container-login-2,2 Column Login Container,2 Column Login container for Descriptive text or social login,CSS,containers-login,bootstrap-essentials,https://codepen.io/poojalm/pen/KmONqL,.container,-,div
.container-md,Medium Size Container,Container size of 970px ,CSS,containers-sizes,bootstrap-essentials,https://codepen.io/poojalm/pen/PmMWNv,.container,-,div
.container-sm,Small Size Container,Container size of 750px,CSS,containers-sizes,bootstrap-essentials,https://codepen.io/poojalm/pen/Lywxxr,.container,-,div
.container-smooth,Smooth Container,prevent container size jumping at media query breakpoints,CSS,containers-smooth,bootstrap-essentials,https://codepen.io/poojalm/pen/BZyKVw,.container,-,div
.container-table,Table Container,"Displays grid as table, table-row and table-cell. It was specifically designed to center align-content. The limition of this grid is that you cannot to total xolumsize of more than 12. It is good to use with row split of full page height Content ",CSS,containers-table,bootstrap-essentials,https://codepen.io/poojalm/pen/bWXqqR & https://codepen.io/poojalm/pen/awOzRY,-,.container,div
.container-xs,Extra Small Size Container,Container size of 480px,CSS,containers-sizes,bootstrap-essentials,https://codepen.io/poojalm/pen/KqwzrG,.container,-,div
.control-label,Form Label,In forms this classes is added to form labels to allow the label to be used for form validation.,forms-control-validation,forms,bootstrap,,-,.form-group,label
.danger,Table Danger row,Adds a red background to the table row (<tr> or table cell (<td>). Indicates a dangerous or potentially negative action,Contextual classes,tables-contextual-classes,bootstrap,,-,.table,"tr, td"
.btn .disabled,Button Disabled,"Disables a button (adds opacity and a ""no-parking-sign"" icon on hover)",CSS,buttons-disabled,bootstrap,,.btn,-,"button, a, input"
.dropdown .disabled,Dropdown Disabled,"Disables a dropdown item (adds a grey text color and a ""no-parking-sign"" icon on hover)",Component,dropdowns-disabled,bootstrap,,-,.dropdown,li
.pagination .disabled,Pagination Disabled,"Disables a pagination link (cannot be clicked - adds a grey text color and a ""no-parking-sign"" icon on hover)",Component,pagination,bootstrap,,-,.pagination,li
.list-group .disabled,List Group Item Disabled,"Disables a list item in a list group (cannot be clicked - adds a grey background color and a ""no-parking-sign"" icon on hover)",Component,list-group-disabled,bootstrap,,.list-group-item,.list-group,li
.divider,Dropdown Divider,Used to separate links in the dropdown menu with a thin horizontal border,Component,dropdowns-divider,bootstrap,,-,.dropdown,li
.dl-horizontal,Horizontal Description List,"Lines up the terms <dt> and descriptions <dd> in <dl> elements side-by-side. Starts off like default <dl>s, but when the browser window expands, it will line up side-by-side",CSS,type-lists,bootstrap,,-,-,dl
.dropdown,Dropdown Class,"This class gives you the ability to add a dropdown to navbar, tabs, and pills so you can display a dropdown of additional navigation.",Component,dropdowns,bootstrap,,-,-,div
.dropdown-header,Dropdown Header,Used to add headers inside the dropdown menu,Component,dropdowns-headers,bootstrap,,-,.dropdown-menu,li
.dropdown-menu,Dropdown Menu Class,Adds the default styles for the dropdown menu container,Component,dropdowns,bootstrap,,-,.dropdown,ul
.dropdown-menu-right,Right Align Dropdown,Right-aligns a dropdown menu,Component,dropdowns-alignment,bootstrap,,.dropdown-menu,.dropdown,ul
.dropdown-submenu,Dropdown Submenu,Create a submenu for a dropdown menu,Component,dropdowns,bootstrap-essentials,,-,.dropdown-menu,div
.dropdown-toggle,Dropdown toggle link,Used on the button that should hide and show (toggle) the dropdown menu,Component,dropdowns,bootstrap,,-,.dropdown,"button, a"
.dropup,Dropup,Indicates a dropup menu (upwards instead of downwards),Component,dropdowns,bootstrap,,-,-,div
.embed-responsive,Responsive Embedded Content,Container for embedded content. Makes videos or slideshows scale properly on any device,Component,responsive-embed,bootstrap,,-,-,div
.embed-responsive-16by9,Responsive Embedded 16 by 9 Resolution,Container for embedded content. Creates an 16:9 aspect ratio embedded content,Component,responsive-embed,bootstrap,,.embed-responsive,-,div
.embed-responsive-4by3,Responsive Embedded 4 by 3 Resolution,Container for embedded content. Creates an 4:3 aspect ratio embedded content,Component,responsive-embed,bootstrap,,.embed-responsive,-,div
.embed-responsive-item,Responsive Embedded Item,Used inside .embed-responsive. Scales the video nicely to the parent element,Component,responsive-embed,bootstrap,,-,.embed-responsive,iframe
.alert .fade,Fade Animation,Adds a fading effect when closing an alert box,CSS,alerts,bootstrap,,,,
.form-control,Form Control,"Used on input, textarea, and select elements to span the entire width of the page and make them responsive",Component,forms,bootstrap,,-,.form-group,"input, select, textarea"
.form-control-feedback,Form Validation Feedback,A form validation class.,Component,forms-control-validation,bootstrap,,.glyphicon,".form-group, .has-feedback",span
.form-control-static,Form Static Content,"Lets you add plain text to the right of a label. For example, Email label could have help text.",Component,forms-controls-static,bootstrap,,-,.form-group,p
.form-group,Form Group,Container for form input and label,CSS,forms,bootstrap,,-,".form-inline, .form-horizontal",div
.form-inline,Inline Form,Makes a <form> left-aligned with inline-block controls (This only applies to forms within viewports that are at least 768px wide),CSS,forms-inline,bootstrap,,-,-,form
.form-horizontal,Horizontal form elements,Aligns labels and groups of form controls in a horizontal layout,CSS,forms,bootstrap,,-,-,form
.gutter-justified,Justified Grid Gutter,Justifies the gutter width in left and right,CSS,gutter,bootstrap-essentials,,.row,".container, .container-*",div
.gutter-0,No gutter in grid,Removes gutter from grid,CSS,gutter,bootstrap-essentials,https://codepen.io/poojalm/pen/XgJLOK?editors=1000,.row,".container, .container-*",div
.gutter-5,Gutter width of 5px in grid,Applies 5 pixel gutter on grid,CSS,gutter,bootstrap-essentials,https://codepen.io/poojalm/pen/jwPEPO?editors=1000,.row,".container, .container-*",div
.gutter-10,Gutter width of 10px in grid,Applies 10 pixel gutter on grid,CSS,gutter,bootstrap-essentials,,.row,".container, .container-*",div
.gutter-15,Gutter width of 15px in grid,Applies 15 pixel gutter on grid,CSS,gutter,bootstrap-essentials,,.row,".container, .container-*",div
.gutter-20,Gutter width of 20px in grid,Applies 20 pixel gutter on grid,CSS,gutter,bootstrap-essentials,https://codepen.io/poojalm/pen/XgbWRW?editors=1000,.row,".container, .container-*",div
.footer,Footer ,Simple footer class,Component,footer,bootstrap-essentials,,-,-,footer
.fileinput,File Input,File Input Element wrapper,CSS,forms,bootstrap-essentials,,.input-group,-,div
.fileinput-preview,File Input Preview,Image preview of uploaded file,CSS,forms,bootstrap-essentials,,".fileinput-exists, .thumbnail",.fileinput,div
.fill,Fill ,fill the image in an element using width and height of 100%,CSS,helpers,bootstrap-essentials,,-,-,img
.full-height,Full Height,makes element of 100% height,CSS,helpers,bootstrap-essentials,,-,-,*
.fs-breakpoint-size,Responsive Font Size,Responsive font size utility,CSS,responsive-utilities,bootstrap-essentials,,-,-,"h*, p, span, label"
.fixed-width-right,Right Sidebar width,Allows to place a fixed with responsive sidebar on the right side of the content ,CSS,page-layout,bootstrap-essentials,,.page-main,-,main
.glyphicon,Glyphicon Font Class,Creates an icon. Bootstrap provides 260 free glyphicons from the Glyphicons Halflings set,Component,glyphicons,bootstrap,,-,-,"i, span"
.has-danger,Danger Form Validation,"Adds a red color to the label and a red border to the input, as well as an error icon inside the input (used together with .has-feedback)",CSS,forms-control-validation,bootstrap,,.form-group,-,div
.has-feedback,Input Feedback Icon,"Adds feedback icons for inputs (checkmark, warning and error signs)",CSS,forms-control-validation,bootstrap,,.form-group,-,div
.has-success,Success Form Validation,"Adds a green color to the label and a green border to the input, as well as a checkmark icon inside the input (used together with .has-feedback)",CSS,forms-control-validation,bootstrap,,.form-group,-,div
.has-warning,Warning Form Validation,"Adds a yellow/orange color to the label and a yellow/orange border to the input, as well as a checkmark icon inside the input (used together with .has-feedback)",CSS,forms-control-validation,bootstrap,,.form-group,-,div
.has-sticky-footer,Generate a Sticky footer,Allow Footer to be sticky at the bottom of page,CSS,footer-sticky,bootstrap-essentials,,-,-,html
.help-block,Form Help Text,A block of help text that breaks onto a new line and may extend beyond one line.,CSS,forms-help-text,bootstrap,,-,.form-group,span
.hidden,Hidden,Forces an element to be hidden (display:none),CSS,responsive-utilities-classes,bootstrap,,-,-,*
.hidden-breakpoint,Responsive Hidden,Hides content depending on screen size,CSS,responsive-utilities-classes,bootstrap,,-,-,*
.hide,Hide,This class is the same as hidden but is deprecated so use .hidden instead,CSS,responsive-utilities-classes,bootstrap,,-,-,*
.h1-.h6,Headings,Apply heading styles to other elements. Make a paragraph look like an h1.,CSS,type,bootstrap,https://codepen.io/poojalm/pen/yXNYqm?editors=1000,-,-,*
.icon-bar,Hamburger Icon,Used in the navbar to create a hamburger menu (three horizontal bars),CSS,navbar,bootstrap,,-,.navbar-toggle,span
.icon-next,Carousel Next,"Unicode icon (arrow pointing right), used in carousels. This is often replaced with a glyphicon",CSS,carousel,bootstrap,,-,.carousel-control,span
.icon-prev,Carousel Previous,"Unicode icon (arrow pointing left), used in carousels. This is often replaced with a glyphicon",CSS,carousel,bootstrap,,-,.carousel-control,span
.img-circle,Circle Image,Shapes an image to a circle (not supported in IE8 and earlier),CSS,images-shapes,bootstrap,,-,-,img
.img-responsive,Responsive image,Makes a image responsive. The image resizes with the width of screen. the maximum size of image is always the size resolution of image.,CSS,images,bootstrap,,-,-,img
.img-rounded,Rounded Image,It adds rounded corners to an image.,CSS,images-shapes,bootstrap,,-,-,img
.img-thumbnail,Image Thumbnail,Shapes an image to a thumbnail (borders),CSS,images,bootstrap,,-,-,img
.fade .in,Fade Animate class,Fades in tabs,CSS,tabs,bootstrap,,,,
.info,Table Info,Adds a light-blue background to the table row (<tr> or table cell (<td>). Indicates a neutral informative change or action,CSS,tables,bootstrap,,-,.table,"td, tr"
.initialism,Initialism,Displays the text inside an <abbr> element in a slightly smaller font size,CSS,type,bootstrap,,-,-,abbr
.input-group,Input Group,"Container to enhance an input by adding an icon, text or a button in front or behind it as a ""help text""",Component,input-group,bootstrap,,-,-,div
